"","row","column","ODvalue","hour","density","cell"
"1","A","1","0.14699999999999999",24,1000,"WT"
"2","B","1","0.23300000000000001",24,2000,"WT"
"3","C","1","0.34499999999999997",24,3000,"WT"
"4","D","1","0.40200000000000002",24,4000,"WT"
"5","E","1","0.437",24,5000,"WT"
"6","F","1","0.34999999999999998",24,6000,"WT"
"7","G","1","0.57399999999999995",24,7000,"WT"
"8","H","1","0.54300000000000004",24,8000,"WT"
"9","A","2","0.14299999999999999",24,1000,"WT"
"10","B","2","0.252",24,2000,"WT"
"11","C","2","0.33800000000000002",24,3000,"WT"
"12","D","2","0.44800000000000001",24,4000,"WT"
"13","E","2","0.502",24,5000,"WT"
"14","F","2","0.53500000000000003",24,6000,"WT"
"15","G","2","0.53700000000000003",24,7000,"WT"
"16","H","2","0.53600000000000003",24,8000,"WT"
"17","A","3","0.152",24,1000,"WT"
"18","B","3","0.24199999999999999",24,2000,"WT"
"19","C","3","0.375",24,3000,"WT"
"20","D","3","0.441",24,4000,"WT"
"21","E","3","0.47599999999999998",24,5000,"WT"
"22","F","3","0.48299999999999998",24,6000,"WT"
"23","G","3","0.57499999999999996",24,7000,"WT"
"24","H","3","0.52400000000000002",24,8000,"WT"
"25","A","4","0.14599999999999999",24,1000,"WT"
"26","B","4","0.254",24,2000,"WT"
"27","C","4","0.35299999999999998",24,3000,"WT"
"28","D","4","0.435",24,4000,"WT"
"29","E","4","0.50800000000000001",24,5000,"WT"
"30","F","4","0.41199999999999998",24,6000,"WT"
"31","G","4","0.52900000000000003",24,7000,"WT"
"32","H","4","0.58799999999999997",24,8000,"WT"
"33","A","5","0.152",24,1000,"WT"
"34","B","5","0.249",24,2000,"WT"
"35","C","5","0.34399999999999997",24,3000,"WT"
"36","D","5","0.42899999999999999",24,4000,"WT"
"37","E","5","0.44700000000000001",24,5000,"WT"
"38","F","5","0.53000000000000003",24,6000,"WT"
"39","G","5","0.53300000000000003",24,7000,"WT"
"40","H","5","0.59099999999999997",24,8000,"WT"
"41","A","6","0.051999999999999998",24,1000,"WT"
"42","B","6","0.049000000000000002",24,2000,"WT"
"43","C","6","0.052999999999999999",24,3000,"WT"
"44","D","6","0.052999999999999999",24,4000,"WT"
"45","E","6","0.050000000000000003",24,5000,"WT"
"46","F","6","0.036999999999999998",24,6000,"WT"
"47","G","6","0.037999999999999999",24,7000,"WT"
"48","H","6","0.042000000000000003",24,8000,"WT"
"49","A","7","0.099000000000000005",24,1000,"KO"
"50","B","7","0.14000000000000001",24,2000,"KO"
"51","C","7","0.193",24,3000,"KO"
"52","D","7","0.22",24,4000,"KO"
"53","E","7","0.24199999999999999",24,5000,"KO"
"54","F","7","0.245",24,6000,"KO"
"55","G","7","0.26100000000000001",24,7000,"KO"
"56","H","7","0.251",24,8000,"KO"
"57","A","8","0.094",24,1000,"KO"
"58","B","8","0.151",24,2000,"KO"
"59","C","8","0.20599999999999999",24,3000,"KO"
"60","D","8","0.23100000000000001",24,4000,"KO"
"61","E","8","0.25900000000000001",24,5000,"KO"
"62","F","8","0.30399999999999999",24,6000,"KO"
"63","G","8","0.27900000000000003",24,7000,"KO"
"64","H","8","0.25900000000000001",24,8000,"KO"
"65","A","9","0.099000000000000005",24,1000,"KO"
"66","B","9","0.14099999999999999",24,2000,"KO"
"67","C","9","0.20399999999999999",24,3000,"KO"
"68","D","9","0.23100000000000001",24,4000,"KO"
"69","E","9","0.248",24,5000,"KO"
"70","F","9","0.26900000000000002",24,6000,"KO"
"71","G","9","0.28499999999999998",24,7000,"KO"
"72","H","9","0.253",24,8000,"KO"
"73","A","10","0.115",24,1000,"KO"
"74","B","10","0.14000000000000001",24,2000,"KO"
"75","C","10","0.183",24,3000,"KO"
"76","D","10","0.22800000000000001",24,4000,"KO"
"77","E","10","0.23799999999999999",24,5000,"KO"
"78","F","10","0.28299999999999997",24,6000,"KO"
"79","G","10","0.28000000000000003",24,7000,"KO"
"80","H","10","0.246",24,8000,"KO"
"81","A","11","0.095000000000000001",24,1000,"KO"
"82","B","11","0.14399999999999999",24,2000,"KO"
"83","C","11","0.20100000000000001",24,3000,"KO"
"84","D","11","0.22800000000000001",24,4000,"KO"
"85","E","11","0.26900000000000002",24,5000,"KO"
"86","F","11","0.27400000000000002",24,6000,"KO"
"87","G","11","0.19500000000000001",24,7000,"KO"
"88","H","11","0.26500000000000001",24,8000,"KO"
"89","A","12","0.040000000000000001",24,1000,"KO"
"90","B","12","0.037999999999999999",24,2000,"KO"
"91","C","12","0.040000000000000001",24,3000,"KO"
"92","D","12","0.040000000000000001",24,4000,"KO"
"93","E","12","0.037999999999999999",24,5000,"KO"
"94","F","12","0.036999999999999998",24,6000,"KO"
"95","G","12","0.037999999999999999",24,7000,"KO"
"96","H","12","0.036999999999999998",24,8000,"KO"
